Location,LAT,LON
Adjala-Tosorontio,43.9724298,-79.8713666
Ajax,43.8509606,-79.0205491
Aurora,43.7932103,-79.3164117
Bradford,44.1003252,-79.4975919
Brampton,43.6822484,-79.5598447
Brock,43.64037,-79.4012555
Burlington,43.3408481,-79.8097034
Caledon,43.875427,-79.858285
City	of	Toronto,43.6454466,-79.3797719
City of Toronto,43.6454466,-79.3797719
Clarington,43.9128207,-78.7108398
Durham	Region,43.9001647,-78.8537335
Durham Region,43.9001647,-78.8537335
East	Gwillimbury,44.1939474,-79.4635259
East Gwillimbury,44.1939474,-79.4635259
Georgina,43.7106658,-79.2845788
Halton	Hills,43.6512888,-79.9142216
Halton	Region,43.4840878,-79.666344
Halton Hills,43.6512888,-79.9142216
Halton Region,43.4840878,-79.666344
King,43.6489494,-79.3777538
Markham,43.8561, -79.3370
Milton,43.6264239,-79.49665
Mississauga,43.6502656,-79.6050685
New	Tecumseth,44.0031645,-79.8078051
New Tecumseth,44.0031645,-79.8078051
Newmarket,43.689575,-79.306092
Oakville,43.455214,-79.6820931
Orangeville,43.8953572,-80.0628056
Oshawa,43.8670844,-78.8284096
Peel	Region,43.5878475,-79.5476113
Peel Region,43.5878475,-79.5476113
Pickering,43.6830054,-79.291066
Richmond	Hill,43.7665947,-79.4752173
Richmond Hill,43.7665947,-79.4752173
Scugog,44.1880417,-78.8298889
Simcoe	County,44.4914719,-79.1548965
Simcoe County,44.4914719,-79.1548965
Stouffville,43.9669498,-79.2444771
Toronto	C01,43.6604085,-79.3685708
Toronto	C02,43.6604085,-79.3685708
Toronto	C03,43.6604085,-79.3685708
Toronto	C04,43.6604085,-79.3685708
Toronto	C06,43.6604085,-79.3685708
Toronto	C07,43.6604085,-79.3685708
Toronto	C08,43.6604085,-79.3685708
Toronto	C09,43.6604085,-79.3685708
Toronto	C10,43.6604085,-79.3685708
Toronto	C11,43.6604085,-79.3685708
Toronto	C12,43.6604085,-79.3685708
Toronto	C13,43.6604085,-79.3685708
Toronto	C14,43.6604085,-79.3685708
Toronto	C15,43.6604085,-79.3685708
Toronto	E01,43.6604085,-79.3685708
Toronto	E02,43.6604085,-79.3685708
Toronto	E03,43.6604085,-79.3685708
Toronto	E04,43.6604085,-79.3685708
Toronto	E05,43.6604085,-79.3685708
Toronto	E06,43.6604085,-79.3685708
Toronto	E07,43.6604085,-79.3685708
Toronto	E08,43.6604085,-79.3685708
Toronto	E09,43.6604085,-79.3685708
Toronto	E10,43.6604085,-79.3685708
Toronto	E11,43.6604085,-79.3685708
Toronto	W01,43.6604085,-79.3685708
Toronto	W02,43.6604085,-79.3685708
Toronto	W03,43.6604085,-79.3685708
Toronto	W04,43.6604085,-79.3685708
Toronto	W05,43.6604085,-79.3685708
Toronto	W06,43.6604085,-79.3685708
Toronto	W07,43.6604085,-79.3685708
Toronto	W08,43.6604085,-79.3685708
Toronto	W09,43.6604085,-79.3685708
Toronto	W10,43.6604085,-79.3685708
Toronto C01,43.6604085,-79.3685708
Toronto C02,43.6604085,-79.3685708
Toronto C03,43.6604085,-79.3685708
Toronto C04,43.6604085,-79.3685708
Toronto C06,43.6604085,-79.3685708
Toronto C07,43.6604085,-79.3685708
Toronto C08,43.6604085,-79.3685708
Toronto C09,43.6604085,-79.3685708
Toronto C10,43.6604085,-79.3685708
Toronto C11,43.6604085,-79.3685708
Toronto C12,43.6604085,-79.3685708
Toronto C13,43.6604085,-79.3685708
Toronto C14,43.6604085,-79.3685708
Toronto C15,43.6604085,-79.3685708
Toronto E01,43.6604085,-79.3685708
Toronto E02,43.6604085,-79.3685708
Toronto E03,43.6604085,-79.3685708
Toronto E04,43.6604085,-79.3685708
Toronto E05,43.6604085,-79.3685708
Toronto E06,43.6604085,-79.3685708
Toronto E07,43.6604085,-79.3685708
Toronto E08,43.6604085,-79.3685708
Toronto E09,43.6604085,-79.3685708
Toronto E10,43.6604085,-79.3685708
Toronto E11,43.6604085,-79.3685708
Toronto W01,43.6604085,-79.3685708
Toronto W02,43.6604085,-79.3685708
Toronto W03,43.6604085,-79.3685708
Toronto W04,43.6604085,-79.3685708
Toronto W05,43.6604085,-79.3685708
Toronto W06,43.6604085,-79.3685708
Toronto W07,43.6604085,-79.3685708
Toronto W08,43.6604085,-79.3685708
Toronto W09,43.6604085,-79.3685708
Toronto W10,43.6604085,-79.3685708
Uxbridge,43.6699655,-79.4568658
Vaughan,43.8372, -79.5083
Whitby,43.8783464,-78.9463239
Whitchurch-Stouffville,43.9062981,-79.2680414
York	Region,43.884606,-79.2357112
York Region,43.884606,-79.2357112
